building_id,building_type,height,num_floors,latitude,longitude,vulnerability,seismic_zone,seismic_hazard,population_exposure,risk_score,risk_level,distance_km,duration_min,accessibility,risk_zone,priority_score,priority_level
B000049,unknown,,,17.4041946,78.4197804,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000050,unknown,,,17.4043446,78.4197962,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000051,unknown,,,17.4037597,78.4196655,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000052,unknown,,,17.4037425,78.4197585,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000053,unknown,,,17.403954,78.4197273,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000054,unknown,,,17.4039561,78.4198503,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000055,unknown,,,17.4038447,78.4198915,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000056,unknown,,,17.4038858,78.4199588,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000057,unknown,,,17.4040224,78.4199882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000058,unknown,,,17.4038772,78.4200525,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000059,unknown,,,17.4039803,78.4200368,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000060,unknown,,,17.4041061,78.4201951,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000061,unknown,,,17.4042462,78.4200951,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000062,unknown,,,17.4042436,78.4200248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000063,unknown,,,17.4042432,78.4199381,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000064,unknown,,,17.4041503,78.4198533,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000065,unknown,,,17.4044631,78.4199663,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000066,unknown,,,17.4047153,78.4199326,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000067,unknown,,,17.404717,78.4198901,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000068,unknown,,,17.404887,78.4200031,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000069,unknown,,,17.4047737,78.4200605,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000070,unknown,,,17.4047624,78.4201322,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000071,unknown,,,17.4046764,78.4202364,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000072,unknown,,,17.404345,78.4201497,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000073,unknown,,,17.4043217,78.4201803,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000074,unknown,,,17.4044849,78.4202283,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000075,unknown,,,17.4047363,78.4203731,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000076,unknown,,,17.4047356,78.4203882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000077,unknown,,,17.4044376,78.4203074,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000078,unknown,,,17.4044104,78.4204796,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000079,unknown,,,17.4042299,78.4204882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000080,unknown,,,17.4041903,78.420285,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000081,unknown,,,17.4040691,78.4202251,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000082,unknown,,,17.4038529,78.4202193,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000083,unknown,,,17.4038164,78.4202558,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000084,unknown,,,17.4038519,78.4203266,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000085,unknown,,,17.4037641,78.4202536,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000086,unknown,,,17.4037572,78.4203675,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000087,unknown,,,17.4040686,78.4202832,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000088,unknown,,,17.4037268,78.4204383,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000089,unknown,,,17.4037259,78.4203139,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000090,unknown,,,17.4037053,78.4203109,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000091,unknown,,,17.4035865,78.4204294,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000092,unknown,,,17.4031173,78.4204464,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000093,unknown,,,17.4034813,78.4202834,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000094,unknown,,,17.4035815,78.420283,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000095,unknown,,,17.4038087,78.4201244,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000096,unknown,,,17.4034565,78.4201449,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000097,unknown,,,17.4038162,78.420051,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000098,unknown,,,17.4037053,78.4200248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000099,unknown,,,17.4035172,78.4200218,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000100,unknown,,,17.4034453,78.4200645,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000101,unknown,,,17.4034425,78.4199441,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000102,unknown,,,17.4034453,78.420142,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000103,unknown,,,17.4030704,78.4201572,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000104,unknown,,,17.4029419,78.4201272,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000105,unknown,,,17.4029527,78.4201104,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000106,unknown,,,17.4030563,78.4200798,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000107,unknown,,,17.4031068,78.4198556,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000108,unknown,,,17.4028958,78.4199681,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000109,unknown,,,17.4026714,78.4200551,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000110,unknown,,,17.4026705,78.4201164,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000111,unknown,,,17.4028781,78.4200704,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000112,unknown,,,17.4026673,78.4201813,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000113,unknown,,,17.402659,78.4202503,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000114,unknown,,,17.4026693,78.4203136,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000115,unknown,,,17.4029017,78.4202761,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000116,unknown,,,17.4029965,78.4202313,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000117,unknown,,,17.4030911,78.4202919,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000118,unknown,,,17.4030911,78.4202919,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000119,unknown,,,17.4028881,78.4204394,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000120,unknown,,,17.4026465,78.4203184,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000121,unknown,,,17.4025517,78.4204321,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000122,unknown,,,17.4023241,78.4202031,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000123,unknown,,,17.402095,78.4203292,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000124,unknown,,,17.4022819,78.4202805,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000125,unknown,,,17.4022892,78.4204183,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000126,unknown,,,17.4020965,78.4204986,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000127,unknown,,,17.4019611,78.4203734,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000128,unknown,,,17.4019706,78.4202846,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000129,unknown,,,17.4018152,78.4204145,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000130,unknown,,,17.4016569,78.4204362,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000131,unknown,,,17.4015969,78.4203014,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000132,unknown,,,17.4015537,78.4203371,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000133,unknown,,,17.4018242,78.4201984,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000134,unknown,,,17.40199,78.4201938,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000135,unknown,,,17.4020067,78.420115,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000136,unknown,,,17.4018248,78.4201843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000137,unknown,,,17.4019049,78.4201843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000138,unknown,,,17.4015999,78.4201756,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000139,unknown,,,17.4015849,78.4202394,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000140,unknown,,,17.4016556,78.4200473,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000141,unknown,,,17.4015926,78.4198733,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000142,unknown,,,17.4016172,78.4198888,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000143,unknown,,,17.401957,78.4200525,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000144,unknown,,,17.402068,78.4199646,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000145,unknown,,,17.4019603,78.4199576,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000146,unknown,,,17.4022003,78.4201217,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000147,unknown,,,17.4023264,78.4199922,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000148,unknown,,,17.402593,78.4200527,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000149,unknown,,,17.4025372,78.4200109,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000150,unknown,,,17.4023369,78.4198488,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000151,unknown,,,17.4022379,78.4198368,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000152,unknown,,,17.4022259,78.4196536,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000153,unknown,,,17.4022036,78.4196137,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000154,unknown,,,17.4023307,78.4195565,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000155,unknown,,,17.4023343,78.4194794,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
