building_id,building_type,height,num_floors,latitude,longitude,vulnerability,seismic_zone,seismic_hazard,population_exposure,risk_score,risk_level,distance_km,duration_min,accessibility,risk_zone,priority_score,priority_level
B047947,unknown,,,17.3525952,78.4829256,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047948,unknown,,,17.3528124,78.4831933,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047949,unknown,,,17.3530621,78.4831839,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047950,unknown,,,17.3529374,78.4831506,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047951,unknown,,,17.3528996,78.4834945,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047952,unknown,,,17.3529516,78.4835058,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047953,unknown,,,17.3528551,78.4834821,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047954,unknown,,,17.3527855,78.4839509,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047955,unknown,,,17.3529057,78.4838543,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047956,unknown,,,17.3529606,78.4839817,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047957,unknown,,,17.3529578,78.4840134,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047958,unknown,,,17.3529778,78.4839491,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047959,unknown,,,17.3528941,78.4839373,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047960,unknown,,,17.3529789,78.483762,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047961,unknown,,,17.3527998,78.4837647,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047962,unknown,,,17.3530688,78.4839534,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047963,unknown,,,17.3530986,78.4839835,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047964,unknown,,,17.3533449,78.4836952,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047965,unknown,,,17.3533959,78.4835961,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047966,unknown,,,17.3535204,78.483421,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047967,unknown,,,17.3534548,78.4834059,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047968,unknown,,,17.3533972,78.4833899,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047969,unknown,,,17.3533176,78.4835799,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047970,unknown,,,17.3532039,78.4835523,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047971,unknown,,,17.3531641,78.4834316,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047972,unknown,,,17.3531298,78.4835989,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047973,unknown,,,17.3531259,78.4834064,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047974,unknown,,,17.3531815,78.4831818,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047975,unknown,,,17.3531769,78.483169,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047976,unknown,,,17.3533033,78.4832363,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047977,unknown,,,17.3533038,78.4833663,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047978,unknown,,,17.3533864,78.4832497,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047979,unknown,,,17.3534423,78.4832684,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047980,unknown,,,17.3536781,78.4833291,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047981,unknown,,,17.3537717,78.483184,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047982,unknown,,,17.3539344,78.4830217,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047983,unknown,,,17.3537115,78.4833439,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047984,unknown,,,17.3538299,78.4834774,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047985,unknown,,,17.3536973,78.4834684,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047986,unknown,,,17.3536566,78.4836009,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047987,unknown,,,17.3536677,78.4836968,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047988,unknown,,,17.3532752,78.4839843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047989,unknown,,,17.3538182,78.4841413,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047990,unknown,,,17.3538832,78.4838639,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047991,unknown,,,17.3538934,78.4837877,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047992,unknown,,,17.3539221,78.4836368,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047993,unknown,,,17.3539464,78.4835415,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047994,unknown,,,17.3539292,78.4836402,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047995,unknown,,,17.3541655,78.4836702,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047996,unknown,,,17.3541293,78.4836032,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047997,unknown,,,17.3540545,78.4837,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047998,unknown,,,17.3541847,78.4837643,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B047999,unknown,,,17.3539708,78.4838036,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048000,unknown,,,17.3540206,78.4840026,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048001,unknown,,,17.3540412,78.4840708,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048002,unknown,,,17.3541331,78.4840898,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048003,unknown,,,17.3542536,78.4838069,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048004,unknown,,,17.3542457,78.4840431,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048005,unknown,,,17.3544479,78.4838138,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048006,unknown,,,17.3542596,78.4837493,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048007,unknown,,,17.3542302,78.4837909,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048008,unknown,,,17.3543141,78.4836399,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048009,unknown,,,17.3543451,78.4835643,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048010,unknown,,,17.3543512,78.4836168,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048011,unknown,,,17.3542285,78.483512,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048012,unknown,,,17.3539521,78.4834376,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048013,unknown,,,17.3540128,78.4833034,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048014,unknown,,,17.3541828,78.4831245,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048015,unknown,,,17.35438,78.4832633,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048016,unknown,,,17.3543839,78.4832552,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048017,unknown,,,17.3541931,78.4829966,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048018,unknown,,,17.3545295,78.4825499,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048019,unknown,,,17.3542977,78.4825989,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048020,unknown,,,17.3542578,78.482769,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048021,unknown,,,17.3541521,78.4826509,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048022,unknown,,,17.354129,78.4827488,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048023,unknown,,,17.3541591,78.4826211,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048024,unknown,,,17.3540351,78.4827005,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048025,unknown,,,17.3540636,78.4829214,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048026,unknown,,,17.3539492,78.4829855,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048027,unknown,,,17.3538226,78.4829468,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048028,unknown,,,17.3536069,78.4830344,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048029,unknown,,,17.3535835,78.4830153,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048030,unknown,,,17.3535727,78.4830555,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048031,unknown,,,17.3534994,78.4830392,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048032,unknown,,,17.3536182,78.4827629,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048033,unknown,,,17.3537345,78.4827985,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048034,unknown,,,17.3537255,78.482783,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048035,unknown,,,17.353509,78.4827225,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048036,unknown,,,17.3537801,78.4828053,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048037,unknown,,,17.3538631,78.4828095,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048038,unknown,,,17.3539839,78.4828442,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048039,unknown,,,17.3537579,78.4825299,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048040,unknown,,,17.3537135,78.4826187,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048041,unknown,,,17.3536464,78.4825615,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048042,unknown,,,17.3536207,78.482444,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048043,unknown,,,17.3535635,78.4824248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048044,unknown,,,17.3536877,78.4824553,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048045,unknown,,,17.3536065,78.4822418,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048046,unknown,,,17.3535982,78.4822488,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048047,unknown,,,17.3535946,78.4821089,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048048,unknown,,,17.3537461,78.4821554,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048049,unknown,,,17.3538199,78.4821789,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048050,unknown,,,17.3538658,78.4821841,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048051,unknown,,,17.3539077,78.4821996,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048052,unknown,,,17.3539591,78.4823425,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048053,unknown,,,17.3538335,78.4821617,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048054,unknown,,,17.3540429,78.4822373,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048055,unknown,,,17.3540888,78.4823602,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048056,unknown,,,17.3540931,78.48242,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048057,unknown,,,17.3542506,78.4825938,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048058,unknown,,,17.3543051,78.4823107,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048059,unknown,,,17.3545093,78.4824932,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048060,unknown,,,17.3544599,78.4823483,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048061,unknown,,,17.3543841,78.4823261,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048062,unknown,,,17.3542132,78.4822751,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048063,unknown,,,17.3544935,78.4821992,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048064,unknown,,,17.3546707,78.4820611,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048065,unknown,,,17.3547058,78.482063,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048066,unknown,,,17.3547883,78.4821496,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048067,unknown,,,17.3548872,78.4824587,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048068,unknown,,,17.3547245,78.4824977,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048069,unknown,,,17.3545916,78.4823241,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048070,unknown,,,17.3546681,78.4823591,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048071,unknown,,,17.3545691,78.4823618,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048072,unknown,,,17.3545475,78.482679,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048073,unknown,,,17.3546509,78.482869,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048074,unknown,,,17.3546913,78.4830427,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048075,unknown,,,17.3548712,78.4828482,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048076,unknown,,,17.354802,78.4826873,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048077,unknown,,,17.3547599,78.4827881,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048078,unknown,,,17.3546269,78.4825591,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048079,unknown,,,17.3550816,78.4825916,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048080,unknown,,,17.35506,78.4826467,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048081,unknown,,,17.3550432,78.4827073,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048082,unknown,,,17.355166,78.4827433,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048083,unknown,,,17.3549975,78.4829905,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048084,unknown,,,17.355133,78.4826288,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048085,unknown,,,17.3551431,78.4825993,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048086,unknown,,,17.3552338,78.4826099,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048087,unknown,,,17.3552288,78.4826753,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048088,unknown,,,17.3552787,78.4824776,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048089,unknown,,,17.3550873,78.4825383,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048090,unknown,,,17.3550525,78.482532,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048091,unknown,,,17.3549426,78.4823683,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048092,unknown,,,17.3550388,78.4823627,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048093,unknown,,,17.3549289,78.4822856,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048094,unknown,,,17.3552254,78.4821791,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048095,unknown,,,17.3550792,78.4821635,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048096,unknown,,,17.3551998,78.4822513,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048097,unknown,,,17.3552767,78.4823088,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048098,unknown,,,17.3552989,78.4822388,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048099,unknown,,,17.3552729,78.4822256,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048100,unknown,,,17.3554233,78.482162,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048101,unknown,,,17.3553627,78.482258,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048102,unknown,,,17.3555051,78.4825113,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048103,unknown,,,17.3555246,78.4824356,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048104,unknown,,,17.3555246,78.4824356,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048105,unknown,,,17.3556045,78.4823849,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048106,unknown,,,17.355613,78.4824561,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048107,unknown,,,17.3557147,78.4824529,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048108,unknown,,,17.3557839,78.4825831,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048109,unknown,,,17.3556533,78.4821268,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048110,unknown,,,17.3557919,78.4821505,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048111,unknown,,,17.3558357,78.4820775,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048112,unknown,,,17.3558373,78.4822499,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048113,unknown,,,17.3559808,78.4822732,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048114,unknown,,,17.3559768,78.4821701,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048115,unknown,,,17.3562316,78.4822669,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048116,unknown,,,17.3561346,78.4824023,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048117,unknown,,,17.3562027,78.4824493,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048118,unknown,,,17.3562181,78.4825341,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048119,unknown,,,17.3561021,78.482452,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048120,unknown,,,17.3560304,78.4823054,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048121,unknown,,,17.3559283,78.4823324,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048122,unknown,,,17.3558722,78.4825543,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048123,unknown,,,17.3558669,78.4828221,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048124,unknown,,,17.3562538,78.4825623,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048125,unknown,,,17.3562693,78.4828329,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048126,unknown,,,17.3562411,78.4829104,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048127,unknown,,,17.3561852,78.4829839,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048128,unknown,,,17.3562702,78.4830482,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048129,unknown,,,17.3560849,78.4830637,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048130,unknown,,,17.3559489,78.4828777,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048131,unknown,,,17.3558669,78.4828221,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048132,unknown,,,17.3557132,78.4829667,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048133,unknown,,,17.3556793,78.4826609,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048134,unknown,,,17.3556378,78.4828258,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048135,unknown,,,17.3555562,78.4826314,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048136,unknown,,,17.3554891,78.4826153,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048137,unknown,,,17.3554646,78.4826727,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048138,unknown,,,17.3553514,78.4826382,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048139,unknown,,,17.3554414,78.4827582,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048140,unknown,,,17.3554979,78.4828885,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048141,unknown,,,17.3555362,78.4830578,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048142,unknown,,,17.3554674,78.4830548,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048143,unknown,,,17.3554051,78.4833477,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048144,unknown,,,17.3554068,78.4835658,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048145,unknown,,,17.3555076,78.4834087,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048146,unknown,,,17.3557862,78.4834563,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048147,unknown,,,17.3557762,78.4832986,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048148,unknown,,,17.355639,78.4833077,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048149,unknown,,,17.3557113,78.4830709,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048150,unknown,,,17.3556119,78.4830739,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048151,unknown,,,17.3558984,78.4830708,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048152,unknown,,,17.3558289,78.48329,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048153,unknown,,,17.3560269,78.4833377,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048154,unknown,,,17.3560598,78.4831145,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048155,unknown,,,17.3561298,78.4831488,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048156,unknown,,,17.3561723,78.4829957,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048157,unknown,,,17.3562217,78.4831459,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048158,unknown,,,17.3562458,78.4831997,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048159,unknown,,,17.3562895,78.4832252,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048160,unknown,,,17.3559789,78.4831967,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048161,unknown,,,17.3561526,78.4834497,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048162,unknown,,,17.3561942,78.4833343,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048163,unknown,,,17.3559719,78.4834862,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048164,unknown,,,17.3560125,78.4835067,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048165,unknown,,,17.3560003,78.4834113,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048166,unknown,,,17.3558726,78.4833672,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048167,unknown,,,17.3558462,78.4835155,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048168,unknown,,,17.3559163,78.4837207,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048169,unknown,,,17.3560265,78.483689,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B048170,unknown,,,17.3559856,78.4835967,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
