building_id,building_type,height,num_floors,latitude,longitude
B000146,unknown,,,17.4022003,78.4201217
B000147,unknown,,,17.4023264,78.4199922
B000148,unknown,,,17.402593,78.4200527
B000149,unknown,,,17.4025372,78.4200109
B000150,unknown,,,17.4023369,78.4198488
B000151,unknown,,,17.4022379,78.4198368
B000152,unknown,,,17.4022259,78.4196536
B000153,unknown,,,17.4022036,78.4196137
B000154,unknown,,,17.4023307,78.4195565
B000155,unknown,,,17.4023343,78.4194794
B000156,unknown,,,17.4020898,78.4195825
B000157,unknown,,,17.4022356,78.4195484
B000158,unknown,,,17.4018404,78.4195143
B000159,unknown,,,17.4015306,78.4195248
B000160,unknown,,,17.4017511,78.4195267
B000161,unknown,,,17.4015697,78.4196057
B000162,unknown,,,17.4016109,78.4196563
B000163,unknown,,,17.4016852,78.4196337
B000164,unknown,,,17.4018369,78.4197158
B000165,unknown,,,17.4018866,78.4198445
B000166,unknown,,,17.4018154,78.419921
B000167,unknown,,,17.4016802,78.4198614
B000168,unknown,,,17.4015875,78.4198581
B000169,unknown,,,17.4014031,78.4198633
B000170,unknown,,,17.4014903,78.4198619
B000171,unknown,,,17.4014058,78.4197796
B000172,unknown,,,17.4012649,78.4198842
B000173,unknown,,,17.401065,78.4198804
B000174,unknown,,,17.4012649,78.4196976
B000175,unknown,,,17.401376,78.4195282
B000176,unknown,,,17.4014827,78.4195328
B000177,unknown,,,17.4012658,78.4195824
B000178,unknown,,,17.4013065,78.4195203
B000179,unknown,,,17.4013724,78.4193725
B000180,unknown,,,17.4013474,78.419328
B000181,unknown,,,17.4012131,78.419316
B000182,unknown,,,17.4010652,78.4194471
B000183,unknown,,,17.4009789,78.4194471
B000184,unknown,,,17.4009339,78.4194404
B000185,unknown,,,17.4011625,78.4197056
B000186,unknown,,,17.401016,78.4196955
B000187,unknown,,,17.4009145,78.4196847
B000188,unknown,,,17.4007356,78.4194429
B000189,unknown,,,17.4003615,78.4194512
B000190,unknown,,,17.4003515,78.4195754
B000191,unknown,,,17.4004451,78.4196683
B000192,unknown,,,17.4003551,78.4197559
B000193,unknown,,,17.4005899,78.4196652
B000194,unknown,,,17.4005899,78.4196652
B000195,unknown,,,17.4006704,78.419774
B000196,unknown,,,17.4004215,78.4201562
B000197,unknown,,,17.4006871,78.4200877
B000198,unknown,,,17.4008251,78.4199785
B000199,unknown,,,17.4014757,78.4200263
B000200,unknown,,,17.4013879,78.420026
B000201,unknown,,,17.4011919,78.4199391
B000202,unknown,,,17.4001216,78.4203246
B000203,unknown,,,17.399843,78.4201941
B000204,unknown,,,17.4000021,78.4202882
B000205,unknown,,,17.4000407,78.4203697
B000206,unknown,,,17.400103,78.4201341
B000207,unknown,,,17.4001826,78.420161
B000208,unknown,,,17.4001025,78.4198984
B000209,unknown,,,17.4000285,78.4201011
B000210,unknown,,,17.3999321,78.4200735
B000211,unknown,,,17.3997211,78.4199043
B000212,unknown,,,17.3996513,78.4200572
B000213,unknown,,,17.3999231,78.4202465
B000214,unknown,,,17.3993426,78.4200784
B000215,unknown,,,17.3991797,78.4201402
B000216,unknown,,,17.3996889,78.4204502
B000217,unknown,,,17.3994563,78.4204318
B000218,unknown,,,17.3994981,78.4203706
B000219,unknown,,,17.3993477,78.4204675
B000220,unknown,,,17.3992148,78.4205108
B000221,unknown,,,17.3990044,78.4203495
B000222,unknown,,,17.3990308,78.4200652
B000223,unknown,,,17.3989523,78.420269
B000224,unknown,,,17.3987469,78.4203451
B000225,unknown,,,17.3986115,78.4203925
B000226,unknown,,,17.3984097,78.4204061
B000227,unknown,,,17.3982471,78.4204814
B000228,unknown,,,17.3981118,78.4201795
B000229,unknown,,,17.3983933,78.4202158
B000230,unknown,,,17.3983528,78.4201827
B000231,unknown,,,17.3981647,78.4201369
B000232,unknown,,,17.3981893,78.420096
B000233,unknown,,,17.3980508,78.4202346
B000234,unknown,,,17.3983855,78.4200078
B000235,unknown,,,17.3987912,78.4199178
B000236,unknown,,,17.3986185,78.4202407
B000237,unknown,,,17.3991054,78.4199927
B000238,unknown,,,17.3990512,78.4199415
B000239,unknown,,,17.3992095,78.4197961
B000240,unknown,,,17.3990235,78.419591
B000241,unknown,,,17.3988036,78.4197596
B000242,unknown,,,17.3988849,78.4196894
B000243,unknown,,,17.3987091,78.4198222
B000244,unknown,,,17.3989024,78.4198018
B000245,unknown,,,17.3984852,78.4199533
B000246,unknown,,,17.398254,78.4197628
B000247,unknown,,,17.3980046,78.4197671
B000248,unknown,,,17.3984367,78.4196787
B000249,unknown,,,17.3984304,78.4196378
B000250,unknown,,,17.3982896,78.4194205
B000251,unknown,,,17.3989931,78.4194202
B000252,unknown,,,17.3991619,78.4194809
B000253,unknown,,,17.3997064,78.4193561
B000254,unknown,,,17.3996013,78.4193574
B000255,unknown,,,17.3995119,78.4194022
B000256,unknown,,,17.3996152,78.4195576
B000257,unknown,,,17.3992545,78.4195941
B000258,unknown,,,17.3994262,78.4198043
B000259,unknown,,,17.399843,78.4197115
B000260,unknown,,,17.3999556,78.4197782
B000261,unknown,,,17.4000701,78.4198553
B000262,unknown,,,17.3999754,78.4196012
B000263,unknown,,,17.4000011,78.4195468
B000264,unknown,,,17.4000846,78.4196021
B000265,unknown,,,17.3998066,78.4195325
B000266,unknown,,,17.3997487,78.419531
B000267,unknown,,,17.4003145,78.419484
B000268,unknown,,,17.3978061,78.4198844
B000269,unknown,,,17.397885,78.4201807
B000270,unknown,,,17.3979776,78.4201787
B000271,unknown,,,17.3978961,78.4202034
B000272,unknown,,,17.3977463,78.4203306
B000273,unknown,,,17.3977149,78.420522
B000274,unknown,,,17.3957552,78.4202277
B000275,unknown,,,17.3953612,78.4202184
B000276,unknown,,,17.3952212,78.4201092
B000277,unknown,,,17.395227,78.4201775
B000278,unknown,,,17.3952394,78.4203961
B000279,unknown,,,17.3950978,78.4204107
B000280,unknown,,,17.3948729,78.4205084
B000281,unknown,,,17.3949815,78.4202071
B000282,unknown,,,17.3946058,78.4199182
B000283,unknown,,,17.3953947,78.4199315
B000284,unknown,,,17.3953196,78.4197965
B000285,unknown,,,17.3955435,78.4194386
B000286,unknown,,,17.3955024,78.4193912
B000287,unknown,,,17.3954071,78.4194359
B000288,unknown,,,17.3952362,78.4193551
B000289,unknown,,,17.3951753,78.4192762
B000290,unknown,,,17.3950763,78.4196447
B000291,unknown,,,17.3947632,78.4194621
B000292,unknown,,,17.3950258,78.419465
B000293,unknown,,,17.3948689,78.419398
B000294,unknown,,,17.3948703,78.4198688
B000295,unknown,,,17.3949683,78.4198391
B000296,unknown,,,17.394698,78.4196644
B000297,unknown,,,17.3943426,78.4194149
B000298,unknown,,,17.3939408,78.4193947
B000299,unknown,,,17.3939477,78.4194322
B000300,unknown,,,17.3932893,78.41937
B000301,unknown,,,17.3942212,78.4199237
B000302,unknown,,,17.3941951,78.4203358
B000303,unknown,,,17.3941416,78.4202321
B000304,unknown,,,17.3941597,78.4203488
B000305,unknown,,,17.3945562,78.4204156
B000306,unknown,,,17.3936486,78.4202602
B000307,unknown,,,17.3933149,78.4204614
B000308,unknown,,,17.3930282,78.4202084
