building_id,building_type,height,num_floors,latitude,longitude,vulnerability,seismic_zone,seismic_hazard,population_exposure,risk_score,risk_level,distance_km,duration_min,accessibility,risk_zone
B000034,unknown,,,17.404927,78.4194259,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000035,unknown,,,17.4045298,78.4196387,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000036,unknown,,,17.4045671,78.4195083,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000037,unknown,,,17.4045589,78.4194507,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000038,unknown,,,17.4044527,78.4194273,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000039,unknown,,,17.4047449,78.4196839,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000040,unknown,,,17.4045878,78.4197255,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000041,unknown,,,17.4047236,78.4198027,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000042,unknown,,,17.4045944,78.419917,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000043,unknown,,,17.4044762,78.4198405,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000044,unknown,,,17.4044869,78.4197255,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000045,unknown,,,17.4044228,78.4199194,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000046,unknown,,,17.4043623,78.419843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000047,unknown,,,17.4042616,78.4198138,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000048,unknown,,,17.404142,78.4197771,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000049,unknown,,,17.4041946,78.4197804,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000050,unknown,,,17.4043446,78.4197962,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000051,unknown,,,17.4037597,78.4196655,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000052,unknown,,,17.4037425,78.4197585,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000053,unknown,,,17.403954,78.4197273,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000054,unknown,,,17.4039561,78.4198503,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000055,unknown,,,17.4038447,78.4198915,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000056,unknown,,,17.4038858,78.4199588,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000057,unknown,,,17.4040224,78.4199882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000058,unknown,,,17.4038772,78.4200525,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000059,unknown,,,17.4039803,78.4200368,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000060,unknown,,,17.4041061,78.4201951,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000061,unknown,,,17.4042462,78.4200951,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000062,unknown,,,17.4042436,78.4200248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000063,unknown,,,17.4042432,78.4199381,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000064,unknown,,,17.4041503,78.4198533,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000065,unknown,,,17.4044631,78.4199663,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000066,unknown,,,17.4047153,78.4199326,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000067,unknown,,,17.404717,78.4198901,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000068,unknown,,,17.404887,78.4200031,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000069,unknown,,,17.4047737,78.4200605,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000070,unknown,,,17.4047624,78.4201322,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000071,unknown,,,17.4046764,78.4202364,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000072,unknown,,,17.404345,78.4201497,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000073,unknown,,,17.4043217,78.4201803,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000074,unknown,,,17.4044849,78.4202283,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000075,unknown,,,17.4047363,78.4203731,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000076,unknown,,,17.4047356,78.4203882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000077,unknown,,,17.4044376,78.4203074,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000078,unknown,,,17.4044104,78.4204796,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000079,unknown,,,17.4042299,78.4204882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000080,unknown,,,17.4041903,78.420285,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000081,unknown,,,17.4040691,78.4202251,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000082,unknown,,,17.4038529,78.4202193,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000083,unknown,,,17.4038164,78.4202558,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000084,unknown,,,17.4038519,78.4203266,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000085,unknown,,,17.4037641,78.4202536,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000086,unknown,,,17.4037572,78.4203675,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000087,unknown,,,17.4040686,78.4202832,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000088,unknown,,,17.4037268,78.4204383,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000089,unknown,,,17.4037259,78.4203139,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000090,unknown,,,17.4037053,78.4203109,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000091,unknown,,,17.4035865,78.4204294,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000092,unknown,,,17.4031173,78.4204464,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000093,unknown,,,17.4034813,78.4202834,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000094,unknown,,,17.4035815,78.420283,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000095,unknown,,,17.4038087,78.4201244,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000096,unknown,,,17.4034565,78.4201449,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000097,unknown,,,17.4038162,78.420051,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000098,unknown,,,17.4037053,78.4200248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000099,unknown,,,17.4035172,78.4200218,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000100,unknown,,,17.4034453,78.4200645,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000101,unknown,,,17.4034425,78.4199441,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000102,unknown,,,17.4034453,78.420142,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000103,unknown,,,17.4030704,78.4201572,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000104,unknown,,,17.4029419,78.4201272,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000105,unknown,,,17.4029527,78.4201104,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000106,unknown,,,17.4030563,78.4200798,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000107,unknown,,,17.4031068,78.4198556,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000108,unknown,,,17.4028958,78.4199681,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000109,unknown,,,17.4026714,78.4200551,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000110,unknown,,,17.4026705,78.4201164,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000111,unknown,,,17.4028781,78.4200704,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000112,unknown,,,17.4026673,78.4201813,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000113,unknown,,,17.402659,78.4202503,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000114,unknown,,,17.4026693,78.4203136,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000115,unknown,,,17.4029017,78.4202761,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000116,unknown,,,17.4029965,78.4202313,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000117,unknown,,,17.4030911,78.4202919,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000118,unknown,,,17.4030911,78.4202919,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000119,unknown,,,17.4028881,78.4204394,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000120,unknown,,,17.4026465,78.4203184,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000121,unknown,,,17.4025517,78.4204321,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000122,unknown,,,17.4023241,78.4202031,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000123,unknown,,,17.402095,78.4203292,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000124,unknown,,,17.4022819,78.4202805,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000125,unknown,,,17.4022892,78.4204183,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000126,unknown,,,17.4020965,78.4204986,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000127,unknown,,,17.4019611,78.4203734,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000128,unknown,,,17.4019706,78.4202846,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000129,unknown,,,17.4018152,78.4204145,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000130,unknown,,,17.4016569,78.4204362,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000131,unknown,,,17.4015969,78.4203014,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000132,unknown,,,17.4015537,78.4203371,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000133,unknown,,,17.4018242,78.4201984,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000134,unknown,,,17.40199,78.4201938,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000135,unknown,,,17.4020067,78.420115,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000136,unknown,,,17.4018248,78.4201843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000137,unknown,,,17.4019049,78.4201843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000138,unknown,,,17.4015999,78.4201756,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000139,unknown,,,17.4015849,78.4202394,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000140,unknown,,,17.4016556,78.4200473,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000141,unknown,,,17.4015926,78.4198733,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000142,unknown,,,17.4016172,78.4198888,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000143,unknown,,,17.401957,78.4200525,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000144,unknown,,,17.402068,78.4199646,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000145,unknown,,,17.4019603,78.4199576,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000146,unknown,,,17.4022003,78.4201217,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000147,unknown,,,17.4023264,78.4199922,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000148,unknown,,,17.402593,78.4200527,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000149,unknown,,,17.4025372,78.4200109,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000150,unknown,,,17.4023369,78.4198488,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000151,unknown,,,17.4022379,78.4198368,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000152,unknown,,,17.4022259,78.4196536,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000153,unknown,,,17.4022036,78.4196137,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000154,unknown,,,17.4023307,78.4195565,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000155,unknown,,,17.4023343,78.4194794,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000156,unknown,,,17.4020898,78.4195825,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000157,unknown,,,17.4022356,78.4195484,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000158,unknown,,,17.4018404,78.4195143,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000159,unknown,,,17.4015306,78.4195248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000160,unknown,,,17.4017511,78.4195267,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000161,unknown,,,17.4015697,78.4196057,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000162,unknown,,,17.4016109,78.4196563,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000163,unknown,,,17.4016852,78.4196337,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000164,unknown,,,17.4018369,78.4197158,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000165,unknown,,,17.4018866,78.4198445,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000166,unknown,,,17.4018154,78.419921,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000167,unknown,,,17.4016802,78.4198614,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000168,unknown,,,17.4015875,78.4198581,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000169,unknown,,,17.4014031,78.4198633,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000170,unknown,,,17.4014903,78.4198619,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000171,unknown,,,17.4014058,78.4197796,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000172,unknown,,,17.4012649,78.4198842,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000173,unknown,,,17.401065,78.4198804,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000174,unknown,,,17.4012649,78.4196976,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000175,unknown,,,17.401376,78.4195282,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000176,unknown,,,17.4014827,78.4195328,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000177,unknown,,,17.4012658,78.4195824,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000178,unknown,,,17.4013065,78.4195203,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000179,unknown,,,17.4013724,78.4193725,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000180,unknown,,,17.4013474,78.419328,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000181,unknown,,,17.4012131,78.419316,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000182,unknown,,,17.4010652,78.4194471,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000183,unknown,,,17.4009789,78.4194471,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000184,unknown,,,17.4009339,78.4194404,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000185,unknown,,,17.4011625,78.4197056,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000186,unknown,,,17.401016,78.4196955,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000187,unknown,,,17.4009145,78.4196847,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000188,unknown,,,17.4007356,78.4194429,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000189,unknown,,,17.4003615,78.4194512,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000190,unknown,,,17.4003515,78.4195754,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000191,unknown,,,17.4004451,78.4196683,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000192,unknown,,,17.4003551,78.4197559,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000193,unknown,,,17.4005899,78.4196652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000194,unknown,,,17.4005899,78.4196652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000195,unknown,,,17.4006704,78.419774,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000196,unknown,,,17.4004215,78.4201562,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000197,unknown,,,17.4006871,78.4200877,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000198,unknown,,,17.4008251,78.4199785,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000199,unknown,,,17.4014757,78.4200263,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000200,unknown,,,17.4013879,78.420026,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000201,unknown,,,17.4011919,78.4199391,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000202,unknown,,,17.4001216,78.4203246,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000203,unknown,,,17.399843,78.4201941,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000204,unknown,,,17.4000021,78.4202882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000205,unknown,,,17.4000407,78.4203697,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000206,unknown,,,17.400103,78.4201341,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000207,unknown,,,17.4001826,78.420161,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000208,unknown,,,17.4001025,78.4198984,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000209,unknown,,,17.4000285,78.4201011,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000210,unknown,,,17.3999321,78.4200735,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000211,unknown,,,17.3997211,78.4199043,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000212,unknown,,,17.3996513,78.4200572,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000213,unknown,,,17.3999231,78.4202465,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000214,unknown,,,17.3993426,78.4200784,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000215,unknown,,,17.3991797,78.4201402,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000216,unknown,,,17.3996889,78.4204502,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000217,unknown,,,17.3994563,78.4204318,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000218,unknown,,,17.3994981,78.4203706,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000219,unknown,,,17.3993477,78.4204675,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000220,unknown,,,17.3992148,78.4205108,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000221,unknown,,,17.3990044,78.4203495,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000222,unknown,,,17.3990308,78.4200652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000223,unknown,,,17.3989523,78.420269,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000224,unknown,,,17.3987469,78.4203451,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000225,unknown,,,17.3986115,78.4203925,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000226,unknown,,,17.3984097,78.4204061,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000227,unknown,,,17.3982471,78.4204814,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000228,unknown,,,17.3981118,78.4201795,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000229,unknown,,,17.3983933,78.4202158,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000230,unknown,,,17.3983528,78.4201827,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000231,unknown,,,17.3981647,78.4201369,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000232,unknown,,,17.3981893,78.420096,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000233,unknown,,,17.3980508,78.4202346,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000234,unknown,,,17.3983855,78.4200078,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000235,unknown,,,17.3987912,78.4199178,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000236,unknown,,,17.3986185,78.4202407,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000237,unknown,,,17.3991054,78.4199927,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000238,unknown,,,17.3990512,78.4199415,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000239,unknown,,,17.3992095,78.4197961,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000240,unknown,,,17.3990235,78.419591,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000241,unknown,,,17.3988036,78.4197596,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000242,unknown,,,17.3988849,78.4196894,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000243,unknown,,,17.3987091,78.4198222,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000244,unknown,,,17.3989024,78.4198018,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000245,unknown,,,17.3984852,78.4199533,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B000246,unknown,,,17.398254,78.4197628,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
